,,Delimieter",,,,,,,,,,,
4,Header Lines,,,,,,,,,,,
0.9,Pen Width,,,,,,,,,,,
6,Global Radius,,,,,,,,,,,
0, ASCII 48d = '0',,,,,,,,,,,
0, ASCII 57d = '9',,,,,,,,,,,
0, : ; < = > ? @,,,,,,,,,,,
0, ASCII 65d = 'A',,,,,,,,,,,
0, ASCII 90d = 'Z',,,,,,,,,,,
0, [ \ ] ^ _ `,,,,,,,,,,,
0, ASCII 97d = 'a',,,,,,,,,,,
0, ASCII 122d = 'z',,,,,,,,,,,
0, { | } ~,,,,,,,,,,,
0,0,2,60,,,,,,,,,
-5,0,40,60,0,40,0,0,0,0,1,29,15
-5,0,40,0,0,40,60,0,0,0,1,29,15
0,1,1,30,,,,,,,,,
-2,0,30,60,0,30,0,0,,,,,
0,2,7,60,,,,,,,,,
-5,0,25,60,0,10,50,0,0,0,1,2,10
-2,0,25,60,0,45,60,0,,,,,
-5,0,45,35,0,45,60,0,0,0,1,14,10
-2,0,25,35,0,45,35,0,,,,,
-5,0,25,35,0,10,20,0,0,0,1,4.3,10
-2,0,10,20,0,10,0,0,,,,,
-2,0,10,0,0,60,0,0,,,,,
0,3,7,60,,,,,,,,,
-5,0,25,60,0,10,50,0,0,0,1,2,10
-2,0,25,60,0,45,60,0,,,,,
-5,0,45,35,0,45,60,0,0,0,1,14,10
-2,0,25,35,0,45,35,0,,,,,
-5,0,45,0,0,45,35,0,0,0,1,16,10
-2,0,45,0,0,25,0,0,,,,,
-5,0,10,10,0,25,0,0,0,0,1,2,10
0,4,3,60,,,,,,,,,
-2,0,50,60,0,50,0,0,,,,,
-2,0,50,60,0,10,15,0,,,,,
-2,0,10,15,0,60,15,0,,,,,
0,5,5,60,,,,,,,,,
-2,0,10,60,0,60,60,0,,,,,
-2,0,10,60,0,10,30,0,,,,,
-5,0,55,30,0,10,30,0,0,0,1,8,10
-5,0,55,10,0,55,30,0,0,0,1,6,10
-5,0,10,10,0,55,10,0,0,0,1,8,10
0,6,3,60,,,,,,,,,
-5,0,55,60,0,15,20,0,0,0,1,17,15
-5,0,15,20,0,60,20,0,0,0,1,20,15
-5,0,60,20,0,15,20,0,0,0,1,20,15
0,7,2,60,,,,,,,,,
-2,0,10,60,0,60,60,0,,,,,
-5,0,60,60,0,35,0,0,0,0,1,3,15
0,8,7,60,,,,,,,,,
-5,0,25,60,0,25,35,0,0,0,1,14,10
-2,0,25,60,0,45,60,0,,,,,
-5,0,45,35,0,45,60,0,0,0,1,14,10
-2,0,25,35,0,45,35,0,,,,,
-5,0,45,0,0,45,35,0,0,0,1,16,10
-2,0,45,0,0,25,0,0,,,,,
-5,0,25,35,0,25,0,0,0,0,1,16,10
0,9,3,60,,,,,,,,,
-5,0,15,3,0,60,40,0,0,0,1,17,15
-5,0,60,40,0,10,40,0,0,0,1,20,15
-5,0,10,40,0,60,40,0,0,0,1,20,15
0,A,3,60,,,,,,,,,
-2,0,40,60,0,10,0,0,,,,,
-2,0,40,60,0,70,0,0,,,,,
-2,0,20,20,0,60,20,0,,,,,
0,B,6,60,,,,,,,,,
-2,0,20,60,0,20,0,0,,,,,
-2,0,20,0,0,50,0,0,,,,,
-2,0,20,32,0,48,32,0,,,,,
-2,0,20,60,0,48,60,0,,,,,
